subject_id,in_gard,in_mondo,status
GARD:10885,True,True,both
GARD:10886,True,True,both
GARD:10887,True,True,both
GARD:10889,True,True,both
GARD:10890,True,True,both
GARD:10891,True,True,both
GARD:10892,True,True,both
GARD:10898,True,True,both
GARD:10899,True,True,both
GARD:109,True,True,both
GARD:10900,True,True,both
GARD:10902,True,True,both
GARD:10903,True,True,both
GARD:10905,True,True,both
GARD:10906,True,True,both
GARD:10907,True,True,both
GARD:10909,True,True,both
GARD:10910,True,True,both
GARD:10911,True,True,both
GARD:10913,True,True,both
GARD:10914,True,True,both
GARD:10915,True,True,both
GARD:10916,True,True,both
GARD:10917,True,True,both
GARD:10919,True,True,both
GARD:10921,True,True,both
GARD:10922,True,True,both
GARD:10923,True,True,both
GARD:10924,True,True,both
GARD:10925,True,True,both
GARD:10927,True,True,both
GARD:10929,True,True,both
GARD:1093,True,True,both
GARD:10933,True,True,both
GARD:10934,True,True,both
GARD:10935,True,True,both
GARD:10936,True,True,both
GARD:10937,True,True,both
GARD:10938,True,True,both
GARD:10939,True,True,both
GARD:1094,True,True,both
GARD:10940,True,True,both
GARD:10941,True,True,both
GARD:10942,True,True,both
GARD:10943,True,True,both
GARD:10944,True,True,both
GARD:10945,True,True,both
GARD:10946,True,True,both
GARD:10947,True,True,both
GARD:10948,True,True,both
GARD:10949,True,True,both
GARD:10951,True,True,both
GARD:10954,True,True,both
GARD:10955,True,True,both
GARD:10956,True,True,both
GARD:10957,True,True,both
GARD:10958,True,True,both
GARD:10959,True,True,both
GARD:1096,True,True,both
GARD:10962,True,True,both
GARD:10964,True,True,both
GARD:10965,True,True,both
GARD:10966,True,True,both
GARD:10969,True,True,both
GARD:10970,True,True,both
GARD:10972,True,True,both
GARD:10973,True,True,both
GARD:10974,True,True,both
GARD:10977,True,True,both
GARD:10980,True,True,both
GARD:10981,True,True,both
GARD:10983,True,True,both
GARD:10984,True,True,both
GARD:10985,True,True,both
GARD:10986,True,True,both
GARD:10989,True,True,both
GARD:10991,True,True,both
GARD:10992,True,True,both
GARD:10994,True,True,both
GARD:10995,True,True,both
GARD:10996,True,True,both
GARD:10997,True,True,both
GARD:10998,True,True,both
GARD:10999,True,True,both
GARD:11,True,True,both
GARD:1100,True,True,both
GARD:11000,True,True,both
GARD:11003,True,True,both
GARD:11004,True,True,both
GARD:11005,True,True,both
GARD:11006,True,True,both
GARD:11007,True,True,both
GARD:11008,True,True,both
GARD:11009,True,True,both
GARD:11010,True,True,both
GARD:11011,True,True,both
GARD:1102,True,True,both
GARD:1104,True,True,both
GARD:111,True,True,both
GARD:1118,True,True,both
GARD:1119,True,True,both
GARD:112,True,True,both
GARD:1120,True,True,both
GARD:1121,True,True,both
GARD:1123,True,True,both
GARD:1128,True,True,both
GARD:1130,True,True,both
GARD:1133,True,True,both
GARD:1139,True,True,both
GARD:114,True,True,both
GARD:1140,True,True,both
GARD:1141,True,True,both
GARD:1142,True,True,both
GARD:1144,True,True,both
GARD:1155,True,True,both
GARD:1159,True,True,both
GARD:116,True,True,both
GARD:1160,True,True,both
GARD:1163,True,True,both
GARD:1164,True,True,both
GARD:1167,True,True,both
GARD:117,True,True,both
GARD:118,True,True,both
GARD:11855,True,True,both
GARD:1188,True,True,both
GARD:1189,True,True,both
GARD:11890,True,True,both
GARD:11892,True,True,both
GARD:11893,True,True,both
GARD:11894,True,True,both
GARD:11895,True,True,both
GARD:11897,True,True,both
GARD:11898,True,True,both
GARD:11899,True,True,both
GARD:11901,True,True,both
GARD:11902,True,True,both
GARD:11903,True,True,both
GARD:11904,True,True,both
GARD:11906,True,True,both
GARD:11907,True,True,both
GARD:11908,True,True,both
GARD:1191,True,True,both
GARD:11910,True,True,both
GARD:11911,True,True,both
GARD:11914,True,True,both
GARD:11915,True,True,both
GARD:11918,True,True,both
GARD:11923,True,True,both
GARD:11925,True,True,both
GARD:11927,True,True,both
GARD:1195,True,True,both
GARD:11951,True,True,both
GARD:11953,True,True,both
GARD:1196,True,True,both
GARD:11962,True,True,both
GARD:11971,True,True,both
GARD:11972,True,True,both
GARD:11973,True,True,both
GARD:11974,True,True,both
GARD:11979,True,True,both
GARD:11980,True,True,both
GARD:11982,True,True,both
GARD:11983,True,True,both
GARD:11984,True,True,both
GARD:11985,True,True,both
GARD:1199,True,True,both
GARD:11992,True,True,both
GARD:12,True,True,both
GARD:1200,True,True,both
GARD:12008,True,True,both
GARD:12010,True,True,both
GARD:12011,True,True,both
GARD:12015,True,True,both
GARD:12016,True,True,both
GARD:12027,True,True,both
GARD:12032,True,True,both
GARD:12033,True,True,both
GARD:12036,True,True,both
GARD:12048,True,True,both
GARD:12059,True,True,both
GARD:12062,True,True,both
GARD:12074,True,True,both
GARD:12076,True,True,both
GARD:12085,True,True,both
GARD:12097,True,True,both
GARD:12099,True,True,both
GARD:121,True,True,both
GARD:1210,True,True,both
GARD:12107,True,True,both
GARD:12109,True,True,both
GARD:12117,True,True,both
GARD:12123,True,True,both
GARD:12124,True,True,both
GARD:12125,True,True,both
GARD:12128,True,True,both
GARD:12144,True,True,both
GARD:12162,True,True,both
GARD:12163,True,True,both
GARD:12166,True,True,both
GARD:1217,True,True,both
GARD:12173,True,True,both
GARD:1218,True,True,both
GARD:12185,True,True,both
GARD:1219,True,True,both
GARD:12199,True,True,both
GARD:122,True,True,both
GARD:1220,True,True,both
GARD:12219,True,True,both
GARD:1222,True,True,both
GARD:1223,True,True,both
GARD:12232,True,True,both
GARD:12234,True,True,both
GARD:1224,True,True,both
GARD:12241,True,True,both
GARD:12244,True,True,both
GARD:12251,True,True,both
GARD:12257,True,True,both
GARD:1226,True,True,both
GARD:12264,True,True,both
GARD:12267,True,True,both
GARD:12280,True,True,both
GARD:12281,True,True,both
GARD:12291,True,True,both
GARD:12299,True,True,both
GARD:12300,True,True,both
GARD:12301,True,True,both
GARD:12308,True,True,both
GARD:12311,True,True,both
GARD:12312,True,True,both
GARD:12314,True,True,both
GARD:12315,True,True,both
GARD:12316,True,True,both
GARD:12328,True,True,both
GARD:1233,True,True,both
GARD:12331,True,True,both
GARD:12335,True,True,both
GARD:12338,True,True,both
GARD:1234,True,True,both
GARD:12344,True,True,both
GARD:12347,True,True,both
GARD:12348,True,True,both
GARD:1235,True,True,both
GARD:12351,True,True,both
GARD:12352,True,True,both
GARD:12353,True,True,both
GARD:12354,True,True,both
GARD:12356,True,True,both
GARD:12357,True,True,both
GARD:12360,True,True,both
GARD:12362,True,True,both
GARD:12365,True,True,both
GARD:12366,True,True,both
GARD:12367,True,True,both
GARD:12368,True,True,both
GARD:12369,True,True,both
GARD:1237,True,True,both
GARD:12371,True,True,both
GARD:12372,True,True,both
GARD:12375,True,True,both
GARD:12382,True,True,both
GARD:12383,True,True,both
GARD:12384,True,True,both
GARD:12385,True,True,both
GARD:12388,True,True,both
GARD:12390,True,True,both
GARD:12391,True,True,both
GARD:12393,True,True,both
GARD:12394,True,True,both
GARD:12395,True,True,both
GARD:12396,True,True,both
GARD:12397,True,True,both
GARD:12398,True,True,both
GARD:1240,True,True,both
GARD:12401,True,True,both
GARD:12403,True,True,both
GARD:12404,True,True,both
GARD:12405,True,True,both
GARD:12409,True,True,both
GARD:12411,True,True,both
GARD:12412,True,True,both
GARD:12413,True,True,both
GARD:12416,True,True,both
GARD:12417,True,True,both
GARD:12421,True,True,both
GARD:12426,True,True,both
GARD:12428,True,True,both
GARD:12429,True,True,both
GARD:1243,True,True,both
GARD:12431,True,True,both
GARD:12432,True,True,both
GARD:12433,True,True,both
GARD:12434,True,True,both
GARD:12435,True,True,both
GARD:12436,True,True,both
GARD:12437,True,True,both
GARD:12438,True,True,both
GARD:12439,True,True,both
GARD:1244,True,True,both
GARD:12440,True,True,both
GARD:12441,True,True,both
GARD:12442,True,True,both
GARD:12443,True,True,both
GARD:12444,True,True,both
GARD:12445,True,True,both
GARD:12446,True,True,both
GARD:12447,True,True,both
GARD:12448,True,True,both
GARD:12449,True,True,both
GARD:1245,True,True,both
GARD:12451,True,True,both
GARD:12452,True,True,both
GARD:12453,True,True,both
GARD:12454,True,True,both
GARD:12458,True,True,both
